Be,Was,Been
Bear,Bore,Born
Beat,Beat,Beaten
Begin,Began,Begun
Bite,Bit,Bitten
Blow,Blew,Blown
Break,Broke,Broken
Bring,Brought,Brought
Build,Built,Built
Buy,Bought,Bought
Can,Could,N/A
Catch,Caught,Caught
Choose,Chose,Chosen
Come,Came,Come
Cost,Cost,Cost
Cut,Cut,Cut
Do,Did,Done
Draw,Drew,Drawn
Drink,Drank,Drunk
Drive,Drove,Driven
Eat,Ate,Eaten
Fall,Fell,Fallen
Feed,Fed,Fed
Feel,Felt,Felt
Fight,Fought,Fought
Find,Found,Found
Fly,Flew,Flown
Forget,Forgot,Forgotten
Freeze,Froze,Frozen
Get,Got,Got/Gotten
Give,Gave,Given
Go,Went,Gone
Grow,Grew,Grown
Hand,Hung,Hung
Have,Had,Had
Hear,Heard,Heard
Hide,Hid,Hidden
Hit,Hit,Hit
Hold,Held,Held
Hurt,Hurt,Hurt
Keep,Kept,Kept
Know,Knew,Known
Lead,Led,Led
Leave,Left,Left
Lend,Lent,Lent
Let,Let,Let
Lie,Lay,Lain
Lose,Lost,Lost
Make,Made,Made
Mean,Meant,Meant
Meet,Met,Met
Pay,Paid,Paid
Read,Read,Read
Ride,Rode,Ridden
Ring,Rang,Rung
Say,Said,Said
See,Saw,Seen
Sell,Sold,Sold
Send,Sent,Sent
Set,Set,Set
Shoot,Shot,Shot
Show,Showed,Shown
Shut,Shut,Shut
Sing,Sang,Sung
Sit,Sat,Sat
Sleep,Slept,Slept
Speak,Spoke,Spoken
Spend,Spent,Spent
Stand,Stood,Stood
Steal,Stole,Stolen
Stick,Stuck,Stuck
Swim,Swam,Swum
Take,Took,Taken
Teach,Taught,Taught
Tell,Told,Told
Think,Thought,Thought
Throw,Threw,Thrown
Wake,Woke,Woken
Wear,Wore,Worn
Win,Won,Won
Write,Wrote,Written
